id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
27103757,今生是第一次,,https://dou.img.lithub.cc/movie/27103757.jpg,2017-10-09(韩国),https://movie.douban.com/subject/27103757/,8.5,"剧情,喜剧,爱情",,,,2024-08-22 23:34:20,2017 / 韩国 / 剧情 喜剧 爱情 / 朴俊和 / 李民基 庭沼玟
1303717,夏日福星,,https://dou.img.lithub.cc/movie/1303717.jpg,1985-08-15,https://movie.douban.com/subject/1303717/,7.4,"喜剧,动作",,,,2024-08-18 18:02:53,1985 / 中国香港 / 喜剧 动作 / 洪金宝 / 洪金宝 吴耀汉
1293732,福星高照,,https://dou.img.lithub.cc/movie/1293732.jpg,1985-02-10,https://movie.douban.com/subject/1293732/,7.5,"喜剧,动作",,,,2024-08-18 00:49:14,1985 / 中国香港 / 喜剧 动作 / 洪金宝 / 洪金宝 成龙
34951001,便利店新星,,https://dou.img.lithub.cc/movie/34951001.jpg,2020-06-19(韩国),https://movie.douban.com/subject/34951001/,7.1,"喜剧,爱情",,,,2024-08-14 14:31:17,2020 / 韩国 / 喜剧 爱情 / 李明佑 / 池昌旭 金裕贞
35131277,惊奇的传闻,,https://dou.img.lithub.cc/movie/35131277.jpg,2020-11-28(韩国),https://movie.douban.com/subject/35131277/,7.5,"悬疑,奇幻",,,,2024-08-09 22:29:48,2020 / 韩国 / 悬疑 奇幻 / 刘善东 / 赵炳奎 金世正
1301345,偷天换日,,https://dou.img.lithub.cc/movie/1301345.jpg,2003-05-30(美国),https://movie.douban.com/subject/1301345/,7.6,"动作,惊悚,犯罪",,,,2024-08-07 13:23:49,2003 / 美国 英国 意大利 德国 / 动作 惊悚 犯罪 / F·加里·格雷 / 马克·沃尔伯格 查理兹·塞隆
34617196,梨泰院Class,,https://dou.img.lithub.cc/movie/34617196.jpg,2020-01-31(韩国),https://movie.douban.com/subject/34617196/,7.2,剧情,,,,2024-08-06 03:25:55,2020 / 韩国 / 剧情 / 金善允 / 朴叙俊 金多美
35956190,走走停停,,https://dou.img.lithub.cc/movie/35956190.jpg,2024-06-08(中国大陆),https://movie.douban.com/subject/35956190/,8,"剧情,喜剧,家庭",,,,2024-08-03 12:55:42,2024 / 中国大陆 / 剧情 喜剧 家庭 / 龙飞 / 胡歌 高圆圆
35402776,那年，我们的夏天,,https://dou.img.lithub.cc/movie/35402776.jpg,2021-12-06(韩国),https://movie.douban.com/subject/35402776/,8.7,爱情,,,,2024-08-02 00:40:58,2021 / 韩国 / 爱情 / 金允珍 / 崔宇植 金多美
1307917,绝地战警2,,https://dou.img.lithub.cc/movie/1307917.jpg,2003-07-18(美国),https://movie.douban.com/subject/1307917/,7.5,"喜剧,动作,犯罪",,,,2024-07-31 13:53:35,2003 / 美国 / 喜剧 动作 犯罪 / 迈克尔·贝 / 马丁·劳伦斯 威尔·史密斯
